GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
GH1	"Isolated growth hormone deficiency, isolated, type IA; Isolated growth hormone deficiency, type 1B; Growth hormone deficiency, isolated, type II; Kowarski syndrome"	AR/AD			
GHR	Growth hormone insensitivity syndrome (Laron syndrome)	AR			
GHRHR	"Isolated growth hormone deficiency, type 1B"	AR			
GHSR	Short stature	AD/AR	N/A		
GIF	Intrinsic factor deficiency	AR			
GIGYF2	"Parkinson disease, autosomal dominant, 11"	AD	N/A		
GIPC3	"Deafness, autosomal recessive 15"	AR			
GJA1	"Oculodentodigital dysplasia, autosomal dominant"	AD/AR	"Allelic with Hypoplastic left heart syndrome-1 (AD); Syndactyly, type III (AD); Oculodentodigital dysplasia, autosomal recessive (AR);  Atrioventricular septal defect 3 (AR)"		
GJA3	"Cataract, zonular pulverulent 3"	AD	N/A		
GJA5	"Atrial fibrillation, familial 12; Progressive familial heart block, type I"	AD			
GJA8	"Cataract, nuclear progressive; Cataract, nuclear pulverulent; Cataract, zonular pulverulent 1; Cataract-microcornea syndrome; Cataract, autosomal recessive"	AD/AR	N/A		
GJB1	"Charcot-Marie-Tooth neuropathy, X-linked dominant, 1 "	XL	N/A		
GJB2	"Deafness, autosomal recessive 1A; Deafness, digenic; Hystrix-like ichthyosis with deafness; Deafness, autosomal dominant 3A; Bart-Pumphrey syndrome; Keratoderma, palmoplantar, with deafness; Vohwinkel syndrome; Keratitis-icthyosis-deafness syndrome"	AD/AR/Digenic			
GJB3	"Deafness, autosomal recessive; Deafness autosomal dominant 2B; Deafness, autosomal dominant, with peripheral neuropathy; Deafness digenic "	AD/Digenic	"Allelic with Erythrokeratodermia variabilis et progressiva (AD/AR); Deafness, autosomal dominant 2B (AD)"		
GJB4	Erythrokeratodermia variabilis et progressiva ; Erythrokeratodermia variabilis with erythema gyratum repens	AD	N/A		
GJB6	"Deafness, autosomal recessive 1B; Deafness, digenic"	AR/Digenic)	"The AD form can also cause deafness (Deafness, autosomal dominant 3B) (AD); Allelic with Ectodermal dysplasia, hidrotic (Clouston syndrome) (AD)"		
GJC2	"Lymphedema, hereditary, IC; Spastic paraplegia 44, autosomal recessive; Leukodystrophy, hypomyelinating, 2"	AD/AR	N/A		
GK	Glycerol kinase deficiency	XL			
GLA	"Fabry disease; Fabry disease, cardiac variant "	XL			
GLB1	"Mucopolysaccharidosis type IVB (Morquio syndrome B);  GM1-gangliosidosis, type I; GM1-gangliosidosis, type II; GM1-gangliosidosis, type III"	AR	N/A		
GLDC	Glycine encephalopathy	AR			
GLE1	"Arthrogryposis, lethal, with anterior horn cell disease; Lethal congenital contracture syndrome 1 "	AR	N/A		
GLI2	Pituitary insufficiency and postaxial polydactyly	AD	Allelic with Holoprosencephaly 9 (AD)		
GLI3	"Acrocallosal syndrome; Pallister-Hall syndrome; Grieg cephalopolysndactyly syndrome; Postaxial polydactyly type A1; Polydactyly, preaxial, type IV; Polydactyly, postaxial, types A1 and B"	AD	N/A		
GLIS2	Nephronophthisis 7	AR	N/A		
GLIS3	"Diabetes mellitus, neonatal, with congenital hypothyroidism"	AR			
GLMN	Glomuvenous malformations	AD	N/A		
GLRA1	"Hyperekplexia, hereditary"	AD/AR			
GLRB	Hyperekplexia 2	AR			
GLRX5	"Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive"	AR			
GLUD1	"Hyperinsulinemic hypoglycemia, familial; Hyperammonemia-hyperinsulinism"	AD/AR			
GLUL	"Glutamine deficiency, congenital"	AR			
GLYCTK	D-glyceric aciduria	AR	N/A		
GM2A	"GM2-gangliosidosis, AB variant"	AR	N/A		
GNAL	Primary torsion dystonia	AD	N/A		
GNAS	"Pseudohypoparathyroidism, type IA; Pseudohypoparathyroidism, type IB; Pseudohypoparathyroidism, type IC; Progressive osseous heteroplasia; McCune-Albright syndrome"	AD			
GNAT1	"Night blindness, congenital stationary, autosomal dominant 3; Night blindness, congenital stationary, autosomal recessive"	AD/AR	N/A		
GNAT2	Achromatopsia 4	AR	N/A		
GNB4	"Charcot-Marie-Tooth disease, dominant intermediate F"	AD	N/A		
GNE	"Sialuria, French type ; Nonaka myopathy; Inclusion body myopathy, autosomal recessive"	AD/AR	N/A		
GNMT	Glycine N-methyltransferase deficiency	AR	N/A		
GNPAT	"Rhizomelic chondrodysplasia punctata, rhizomelic, type 2"	AR	N/A		
GNPTAB	Mucolipidosis III alpha/beta (Pseudo-Hurler polydstrophy); Mucolipidosis II alpha/beta (I-cell disease)	AR	N/A		
GNPTG	Mucolipidosis III gamma	AR	N/A		
GNRH1	Hypogonadotropic hypogonadism	AR/Digenic			
GNRHR	Hypogonadotropic hypogonadism; Fertile eunuch syndrome	AD/AR/Digenic			
GNS	Mucopolysaccharidosis IIID (Sanfilippo syndrome D)	AR	N/A		
GORAB	Geroderma osteodysplasticum	AR	N/A		
GOSR2	"Epilepsy, progessive myoclonic 6"	AR	N/A		
GP1BA	"Bernard-Soulier syndrome, type A2; Bernard-Soulier syndrome, type A1; ; Pseudo-von Willebrand disease"	AD/AR			
GP1BB	"Bernard-Soulier syndrome; Giant platelet disorder, isolated"	AR			
GP6	"Bleeding disorder, platelet-type, 11"	AR			
GP9	Bernard-Soulier syndrome	AR			
GPC3	"Simpson-Golabi-Behmel syndrome, type 1"	XL			
GPC6	Omodysplasia 1	AR	N/A		
GPD1	"Hypertriglyceridemia, transient infantile"	AR	N/A		
GPD1L	Brugada syndrome 2	AD			
GPHN	"Hyperekplexia, autosomal dominant; Molybdenum cofactor deficiency, type C"	AD/AR	N/A		
GPI	"Hemolytic anemia, nonspherocytic due to glucose phosphate isomerase deficiency"	AD			
GPR143	"Nystagmus 6, congenital, X-linked; Ocular albinism, type I"	XL	N/A		
GPR179	"Night blindness, congenital stationary, type 1E"	AR	N/A		
GPR56	"Polymicrogyria, bilateral frontoparietal"	AR	N/A		
GPR98	"Usher syndrome, type IIC"	AR/Digenic			
GPSM2	"Chudley-McCullough syndrome; Deafness, autosomal recessive 82"	AR			
GRHL2	"Deafness, autosomal dominant 28"	AD	N/A		
GRHPR	"Hyperoxaluria, primary, type II"	AR			
GRIA3	"Mental retardation, X-linked 94"	XL	N/A		
GRIK2	"Mental retardation, autosomal recessive 6"	AR	N/A		
GRIK4	Response to antidepressant treatment with citalopram	AD			
GRIN1	"Mental retardation, autosomal dominant 8"	AD	N/A		
GRIN2A	Epilepsy with neurodevelopmental defects	AD	N/A		
GRIN2B	"Mental retardation, autosomal dominant 6"	AD	N/A		
GRIP1	Fraser syndrome	AR	N/A		
GRK1	Oguchi disease 2	AR	N/A		
GRM1	"Spinocerebellar ataxia, autosomal recessive 13"	AR	N/A		
GRM6	"Night blindness, congenital stationary, type 1B"	AR	N/A		
GRN	"Frontotemporal lobar degeneration with TDP43 inclusions, GRN-related; Neuronal ceroid lipofuscinosis 11"	AD/AR	N/A		
GRXCR1	"Deafness, autosomal recessive 25"	AR			
GSN	"Amyloidosis, Finnish type"	AD			
GSS	Glutathione synthetase deficiency	AR			
GTDC2	"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8"	AR	N/A		
GTF2H5	Trichothiodystrophy	AR	N/A		
GUCA1A	Cone dystrophy 3; Cone-rod dystrophy 14	AD	N/A		
GUCA1B	Retinitis pigmentosa 48	AD	N/A		
GUCY2C	Diarrhea 6; Meconium ileus	AD/AR			
GUCY2D	"Cone-rod dystrophy 6; Leber congenital amaurosis, type 1; Cone-Rod dystrophy, autosomal recessive"	AD/AR	N/A		
GUSB	Mucopolysaccharidosis type VII	AR	N/A		
GYG1	Glycogen storage disease XV	AR			
GYPA	"Blood group, MN locus; Blood group, Erik"	BG	 		
GYPB	"Blood group, Ss"	BG	 		
GYPC	"Blood group, Gerbich; Blood group, Webb; Blood group, Duch"	BG	 		
GYS1	"Glycogen storage disease 0, muscle"	AR			
GYS2	"Glycogen storage disease, type 0"	AR			
H19	Wilms tumor 2; Beckwith-Wiedemann syndrome	AD (with imprinting)			
H6PD	Cortisone reductase deficiency	AR 	N/A		
HADH	3-hydroxyacyl-CoA dehydrogenase deficiency	AR			
HADHA	Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency; Trifunctional protein deficiency	AR			
HADHB	Trifunctional protein deficiency	AR			
HAL	Histidinemia	AR	N/A		
HAMP	"Hemochromatosis, type 2B"	AR			
HARS	"Usher syndrome, type 3B"	AR			
HARS2	Perrault syndrome 2	AR			
HAX1	"Neutropenia, severe congenital, 3"	AR			
HBA1	Alpha thalassemia	AR/Digenic			
HBA2	Alpha-thalassemia; Hemoglobin H	AR/Digenic			
HBB	"Beta-thalassemia; Sickle cell disease; Thalassemia-beta, dominant inclusion body; Other Thalassemias/Hemoglobinopathies"	AD/AR/Digenic			
HBG1	Hereditary persistence of fetal hemoglobin	AD	N/A		
HBG2	"Cyanosis, transient neonatal; Hereditary persistence of fetal hemoglobin"	AD	N/A		
HCCS	"Microphthalmia, syndromic 7; MIDAS syndrome"	XL	N/A		
HCN4	Brugada syndrome 8; Sick sinus syndrome 2	AD			
HCRT	Narcolepsy 1	AD	N/A		
HDAC4	Brachydacytly-mental retardation syndrome	AD	N/A		
HEATR2	"Ciliary dyskinesia, primary, 18"	AR			
HEPACAM	"Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without mental retardation; Megalencephalic leukoencephalopathy with subcortical cysts 2A"	AD/AR	N/A		
HERC2	"Skin/hair/eye pigmentation 1; Nonsyndromic intellectual disability, autism, and gait disturbance"	AD/AR	N/A		
HES7	"Spondylocostal dysostosis 4, autosomal recessive"	AR	N/A		
HESX1	"Pituitary hormone deficiency, combined; Septooptic dysplasia"	AR/AD			
HEXA	Tay-Sachs disease; GM2-gangliosidosis; Hexosaminidase A deficiency	AR	N/A		
HEXB	Sandhoff disease	AR	N/A		
HFE	Hemochromatosis	AR/Digenic			
HFE2	"Hemochromatosis, type 2A"	AR			
HGD	Alkaptonuria	AR			
HGF	"Deafness, autosomal recessive 39"	AR			
HGSNAT	Mucopolysaccharidosis type IIIC (Sanfilippo syndrome C)	AR	N/A		
HIBCH	3-hydroxyisobutryl-CoA hydrolase deficiency	AR			
HK1	"Hemolytic anemia, nonspherocytic, due to hexokinase deficiency"	AR	"Allelic with Neuropathy, motor and sensory, Russe type (Charcot-Marie-Tooth disease type 4G)"		
HLA-A	"Drug-induced toxicity, susceptibility to"	AD			
HLA-B	"Drug-induced toxicity, susceptibility to"	AD			
HLCS	Holocarboxylase synthetase deficiency	AR			
HMBS	"Hydroxymethylbilane synthase deficiency; Porphyria, acute intermittent"	AD/AR			
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase deficiency	AR			
HMGCR	"Statins, efficacy of"	AD			
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 deficiency	AR			
HMOX1	Heme oxygenase 1 deficiency	AR	N/A		
HMX1	Oculoauricular syndrome	AD	N/A		
HNF1A	"Renal cell carcinoma, nonpapillary clear cell; Liver adenomatosis; Maturity onset diabetes of the young, type III"	AD	"Mutations may also cause or be associated with Diabetes mellitus, as in Diabetes mellitus, insulin-dependent, 20 (AD)"		
HNF1B	"Renal cell carcinoma, nonpapillary chromophobe"	AD	Allelic with Renal cysts and diabetes syndrome (AD) 		
HNF4A	"Congenital hyperinsulinism, diazoxide-responsive; Maturity onset diabetes of the young, 1"	AD	"Mutations may also cause or be associated with Diabetes mellitus, insulin dependent (AD)"		
HOGA1	"Hyperoxaluria, primary, type III"	AD/AR			
HOXA1	Athabaskan brainstem dysgenesis syndrome; Bosley-Salih-Alorainy syndrome	AR			
HOXA11	Radioulnar synostosis with amegakaryocytic thrombocytopenia	AD			
HOXA13	Hand-foot-genital syndrome; Guttmacher syndrome; Hand-foot-uterus syndrome	AD	N/A		
HOXA2	"Microtia, hearing impairment, and cleft palate"	AR			
HOXB1	"Facial paresis, hereditary congenital, 3"	AR			
HOXC13	Ectodermal dysplasia 9	AR	N/A		
HOXD10	"Vertical talus, congenital"	AD	N/A		
HOXD13	"Brachydactyly-syndactyly syndrome; Brachydactyly, type D; Brachydactyly, type E1; Syndactyly, type V; Synopolydactyly, type I, Synopolydactyly, type II; Synopolydactyly with clefting, autosomal recessive"	AD/AR	N/A		
HP	Anhaptoglobinemia	AR			
HPD	"Tyrosinemia, type III; Hawksinuria"	AR/AD			
HPGD	"Hypertrophic osteoarthropathy, primary, autosomal recessive 1; Cranioosteoarthropathy; Digital clubbing, isolated congenital "	AR	N/A		
HPRT1	Kelley-Seegmiller syndrome; Lesch-Nyhan syndrome	XL			
HPS1	Hermansky-Pudlak syndrome 1	AR			
HPS3	Hermansky-Pudlak syndrome type 3	AR			
HPS4	Hermansky-Pudlak syndrome type 4	AR			
HPS5	Hermansky-Pudlak syndrome type 5	AR			
HPS6	Hermansky-Pudlak syndrome type 6	AR			
HPSE2	Ochoa syndrome; Urofacial syndrome 1	AR			
HR	"Hypotrichosis, hereditary, Marie Unna type, 1; Atrichia with papular lesions; Alopecia universalis congenita"	AD/AR	N/A		
HRAS	Costello syndrome; Congenital myopathy with excess of muscle spindles	AD			
HRG	Thrombophilia due to histidine-rich glycoprotein deficiency	AD			
HS6ST1	"Hypogonadotropic hypogonadism 15, with or without anosmia"	AD/AR/Digenic/Multigenic			
HSD11B1	Cortisone reductase deficiency	AD/AR (Triallelic)	N/A		
HSD11B2	Cortisol 11-beta-ketoreductase deficiency	AR			
HSD17B10	"17-beta-hydroxysteroid dehydrogenase X deficiency; Mental retardation, X-linked syndromic 10"	XL	N/A		
HSD17B3	17-Beta hydroxysteroid dehydrogenase III deficiency	AR			
HSD17B4	Perrault syndrome	AR	Allelic with D-bifunctional protein deficiency (AR)		
HSD3B2	"3-beta-hydroxysteroid dehydrogenase, type II, deficiency"	AR			
HSD3B7	"Bile acid synthesis defect, congenital, 1"	AR			
HSF4	"Cataract, lamellar; Cataract, Marner type; Cataract, congenital, autosomal recessive"	AD/AR	N/A		
HSPA1L	"Abacavir, susceptibility to toxicity with"	AD 			
HSPB1	"Neuropathy, distal hereditary motor, type IIB; Charcot-Marie-Tooth disease, axonal, type 2F "	AD	N/A		
HSPB3	"Neuronopathy, distal hereditary motor, type IIC"	AD	N/A		
HSPB8	"Charcot-Marie-Tooth disease, axonal, type 2L; Distal hereditary motor neuronopathy IIA"	AD	N/A		
HSPD1	"Spastic paraplegia-13; Leukodystrophy, hypomyelinating, 4"	AD/AR	N/A		
HSPG2	"Schwartz-Jampel syndrome, type 1"	AD/AR	"Allelic with Dyssegmental dysplasia, Silverman-Handmaker type (AR)"		
HTR1A	"Periodic fever, menstrual cycle dependent"	AD			
HTR2A	"Major depressive disorder, response to citalopram therapy in; Clozapine, response to"	AD			
HTRA1	Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy (CARASIL)	AR	N/A		
HTT	Huntington disease	AD	N/A		
HUWE1	"Mental retardation, X-linked syndromic, Turner type"	XL	N/A		
HYAL1	Mucopolysaccharidosis type IX	AR	N/A		
HYLS1	Hydrolethalus syndrome	AR	N/A		
ICAM4	"Blood group, Landsteiner-Wiener"	BG			
ICK	Endocrine-cerebroosteodysplasia	AR	N/A		
ICOS	"Immunodeficiency, common variable, 1"	AR			
IDH2	D-2-hydroxyglutaric aciduria 2	AD	N/A		
IDH3B	"Retinitis pigmentosa, autosomal recessive, IDH3B-related"	AR	N/A		
IDS	Mucopolysaccharidosis type II	XL			
IDUA	Mucopolysaccharidosis type I	AR			
IER3IP1	"Microcephaly, epilepsy, and diabetes syndrome"	AR	N/A		
IFITM5	"Osteogenesis imperfecta, type V"	AD	N/A		
IFNGR1	"Mycobacterial infection, atypical, familial disseminated; BCG infection, generalized familial "	AD/AR			
IFNGR2	"Mycobacterial disease, familial susceptibility to; Mycobacterial infection, atypical, familial disseminated"	AD/AR			
IFNL3	"Drug metabolism, IL28B-related"	AD			
IFT122	Cranioectodermal dysplasia 1; Sensenbrenner syndrome	AR	N/A		
IFT140	Mainzer-Saldino syndrome; Jeune asphyxiating thoracic dystrophy	AR	N/A		
IFT43	Cranioectodermal dysplasia 3	AR	N/A		
IFT80	Asphyxiating thoracic dystrophy 2	AR	N/A		
IFT88	"Ciliopathy, IFT88-related"	AR	N/A		
IGBP1	"Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia"	XL	N/A		
IGF1	Insulin-like growth factor I deficiency	AD			
IGF1R	"Insulin-like growth factor I, resistance to"	AD/AR			
IGFALS	"Insulin-like growth factor-binding protein, acid-labile subunit, deficiency of"	AR			
IGFBP7	Retinal arterial macroaneurysm with supravalvular pulmonic stenosis	AR	N/A		
IGHM	Agammaglobulinemia 1	AR			
IGHMBP2	"Spinal muscular atrophy, distal, autosomal recessive, 1"	AR	N/A		
IGKC	Immunoglobulin kappa light chain deficiency	AR	N/A		
IGLL1	Agammaglobulinemia 2	AR			
IGSF1	Central hypothyroidism and testicular enlargement	XL			
IHH	"Acrocapitofemoral dysplasia; Brachydactyly, type A1 "	AD/AR	N/A		
IKBKAP	"Dysautonomia, familial"	AR	N/A		
IKBKG	"Invasive pneumococcal disease, recurrent, isolated, 2; Atypical mycobacteriosis, familial, X-linked, 1; Immunodeficiency, isolated"	XL	"Allelic with Incontinentia pigmenti, type II (XL): for this condition, which may be clinically recognizable, fluorescein angiography has been recommended in order to diagnose ischemic retina in individuals with retinal changes, and early treatment with peripheral retinal photocoagulation may reduce the risk of retinal detachment; Allelic with Ectodermal, dysplasia, anhidrotic, lymphedema and immunodeficiency (XL) and Ectodermal dysplasia, hypohidrotic, with immune deficiency (XL), neither of which may respond well to preventive measures/treatment"		
IL10	Graft vs. host disease	AD	 		
IL10RA	"Inflammatory bowel disease 28, early onset, autosomal recessive"	AR	N/A		
IL10RB	"Inflammatory bowel disease 25, early onset, autosomal recessive"	AR	N/A		
IL11RA	Craniosynostosis and dental anomalies	AR	N/A		
IL12B	"BCG and salmonella infection, disseminated"	AR			
IL12RB1	"Mycobacterial and salmonella infections, susceptibility to"	AR			
IL17F	"Candidiasis, familial, 6"	AD			
IL17RA	"Candiasis, familial, 5"	AR			
IL17RD	"Hypogonadotropic hypogonadism 18, with or without anosmia"	AD/Digenic			
IL1RAPL1	"Mental retardation, X-linked 21/34"	XL	N/A		
IL1RN	"Osteomyelitis, sterile multifocal, with periostitis and pustulosis"	AR			
IL21R	"Immunodeficiency, primary, autosomal recessive, IL21R-related"	AR			
IL2RA	"Interleukin 2 receptor, alpha, deficiency of"	AR			
IL2RG	"Combined immunodeficiency, X-linked"	XL			
IL31RA	"Amyloidois, primary localized cutaneous,2"	AD	N/A		
IL36RN	"Pustular psoriasis, generalized"	AR	N/A		
IL7R	"Severe combined immunodeficiency, autosomal recessive, T-cell negative, B-cell positive, NK cell positive"	AR			
ILDR1	"Deafness, autosomal recessive 42"	AR			
IMPAD1	"Chondrodysplasia with joint dislocations, GPAPP type"	AR	N/A		
IMPDH1	Retinitis pigmentosa 10; Leber congenital amaurosis 11	AD	N/A		
IMPDH2	"IMPDH2 enzyme activity, variation in"	AD	 		
IMPG2	Retinitis pigmentosa 56	AR	N/A		
INF2	"Glomerulosclerosis, focal segmental, 5 ; Charcot-Marie-Tooth disease, dominant intermediate E"	AD	N/A		
INPP5E	"Joubert syndrome 1; Mental retardation, truncal obesity, retinal dystrophy, and micropenis"	AR	N/A		
INPPL1	Opsismodysplasia	AR			
INS	"Diabetes mellitus, permanent neonatal"	AD	"Allelic with Hyperproinsulinemia, familial, with or without diabetes (AD); Maturity onset diabetes of the young (AD)"		
INSL3	Cryptorchidism	AD	N/A		
INSR	"Hyperinsulinemic hypoglycemia, familial, 5; Rabson-Mendenhall syndrome; Donohoe syndrome"	AD/AR			
INVS	Nephronophthisis 2	AR	N/A		
IQCB1	Senior-Loken syndrome 5	AR	N/A		
IQSEC2	"Mental retardation, X-linked 1"	XL	N/A		
IRAK4	"IRAK4 deficiency; Invasive pneumococcal disease, recurrent, isolated, 1"	AR			
IRF6	Popliteal pterygium syndrome; van der Woude syndrome; Orofacial cleft 6;	AD	N/A		
ISCU	"Myopathy with lactic acidosis, hereditary"	AR	N/A		
ISPD	"Muscular dystrophy-dystroglycanopathy (congenital, with brain and eye anomalies), type A, 7"	AR	N/A		
ITCH	"Autoimmune disease, syndromic multisystem"	AR			
ITGA2B	Glanzmann thrombasthenia	AR			
ITGA3	Interstitial lung disease with nephrotic syndrome and epidermolysis bullosa	AR	N/A		
ITGA6	"Epidermolysis bullosa, junctional, with pyloric stenosis"	AR	N/A		
ITGA7	"Muscular dystrophy, congenital, due to integrin alpha-7 deficiency"	AR	N/A		
ITGB2	"Leukocyte adhesion deficiency, type I "	AR			
ITGB3	Glanzmann thrombasthenia	AD/AR			
ITGB4	"Epidermolysis bullosa, junctional, with pyloric atresia; Epidermolysis bullosa, junctional, non-Herlitz type; Epidermolysis bullosa simplex, Weber-Cockayne type "	AD/AR	N/A		
ITK	"Lymphoproliferative syndrome, EBV-associated, autosomal, 1"	AR			
ITM2B	"Cerebral amyloid angiopathy; Dementia, familial Danish"	AD	N/A		
ITPA	Inosine triphosphatase deficiency	AR			
ITPR1	Spinocerebellar ataxia 15	AD	N/A		
IVD	Isovaleric acidemia	AR			
IYD	Thyroid dyshormonogenesis 4	AR			
JAG1	Alagille syndrome	AD			
JAK2	Thrombocythemia 3	AD	Variants may be involved in predisposition to and pathogenesis of oncologic processes (AD)		
JAK3	"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, natural killer cell-negative "	AR			
JAM3	"Hemorrhagic destruction of the brain, subependymal calcification, and cataracts"	AR	N/A		
